Comment,cleaned_comments
Bhutan,bhutan
"The State’s could learn something from this.  I think they would rather have a civil war.  Look at what all the richness has produced, poverty because of the greed.  We might as well be Jamaica.",the state s could learn something from this i think they would rather have a civil war look at what all the richness has produced poverty because of the greed we might as well be jamaica
And I'm gonna go put on my rainburst lore hat and hakey,and i m gonna go put on my rainburst lore hat and hakey
Ok we're calling it rainy green goose,ok we re calling it rainy green goose
And Canadians are.....,and canadians are
Dams are made by otters...?,dams are made by otters
I no it's weired it's like there's a million amerianos hanging around or somthin lucky we got the goose,i no it s weired it s like there s a million amerianos hanging around or somthin lucky we got the goose
Sigh cat bat back,sigh cat bat back
Go rob a meth dealers mother I dunno?,go rob a meth dealers mother i dunno
"That take you any and everywhere, if you have a smile sorta like a duck but more like a goose",that take you any and everywhere if you have a smile sorta like a duck but more like a goose
They got flying sky train subway things,they got flying sky train subway things
But really why is Canada not on the list or at least beautiful bc meaning Kanopy valley rainburst lore forrezt,but really why is canada not on the list or at least beautiful bc meaning kanopy valley rainburst lore forrezt
POV: you're here because of IEB,pov you re here because of ieb
Awesome video ;),awesome video
"Wow. I am intrigued. Scandanavia is not just a case of socialism done right, but it is also the happiest. This is something worth studying, because it can help other countries. One part is having more freedom despite having more control by the government. Mind blown! One can really have thier cake and eat it too. They can have both equality and freedom. Maybey it works like this. Big businesses in capitalism have thier own brand of tyranny. It is a tyranny that is less prominent than the political tyranny of a monarch or dictater. A lower class person can't do many things they want because they can't afford it. In a way, the upper class and big buissness puts tyrannical control on the people by pricing them out like this. It gets really bad when people struggle to pay for needed things like food, utility and housing. The socialism of Scandinavia clearly has more equality due to higher taxes and benifits. It does seem to be putting more order as well. I just thought it was part of the territory. Yet now I see. If the government was more generous, people will get all the resources they need. They can even go further and invest in education, Healthcare and family. So they get more personal freedom, because they are not priced out by the rich. Mind blown.

I am an American. I feel so called out. One Scandinavian woman said they are the ones that have the American dream. How ironic. I do like how Scandinavians use teamwork as a buffer against crisis. I wish my country had that too. I am so sick of the polarization. Republicans are arrogant jeks. They refuse to cooperate with Democrates. The situation is shifted so far right that it makes Democrats look like reasonable centrists. The video mentions the happiness of other countries drop due to poverty and political corruption. That is exactly the problem I have in America. I was really happy in my youth. I thrived in high school and college. Then I tried to enter the workforce. I was completely unable to get a decent job. There was struggle with unemployment, recession and poverty. It was so bad, I developed clinical depression. At worst I was suicidal. It is only recently that I show recovery. I became well enough to go on without being treated by a doctor. That was also when I got on SSI for disability. It is interesting whe I was happier benefiting from more governmental things like college and SSI. I got college mostly through government grants and student loans. Now that I am on SSI, I shouldn't have to pay back my loans. This is an interesting case of happiness.",wow i am intrigued scandanavia is not just a case of socialism done right but it is also the happiest this is something worth studying because it can help other countries one part is having more freedom despite having more control by the government mind blown one can really have thier cake and eat it too they can have both equality and freedom maybey it works like this big businesses in capitalism have thier own brand of tyranny it is a tyranny that is less prominent than the political tyranny of a monarch or dictater a lower class person can t do many things they want because they can t afford it in a way the upper class and big buissness puts tyrannical control on the people by pricing them out like this it gets really bad when people struggle to pay for needed things like food utility and housing the socialism of scandinavia clearly has more equality due to higher taxes and benifits it does seem to be putting more order as well i just thought it was part of the territory yet now i see if the government was more generous people will get all the resources they need they can even go further and invest in education healthcare and family so they get more personal freedom because they are not priced out by the rich mind blown i am an american i feel so called out one scandinavian woman said they are the ones that have the american dream how ironic i do like how scandinavians use teamwork as a buffer against crisis i wish my country had that too i am so sick of the polarization republicans are arrogant jeks they refuse to cooperate with democrates the situation is shifted so far right that it makes democrats look like reasonable centrists the video mentions the happiness of other countries drop due to poverty and political corruption that is exactly the problem i have in america i was really happy in my youth i thrived in high school and college then i tried to enter the workforce i was completely unable to get a decent job there was struggle with unemployment recession and poverty it was so bad i developed clinical depression at worst i was suicidal it is only recently that i show recovery i became well enough to go on without being treated by a doctor that was also when i got on ssi for disability it is interesting whe i was happier benefiting from more governmental things like college and ssi i got college mostly through government grants and student loans now that i am on ssi i shouldn t have to pay back my loans this is an interesting case of happiness
IEB really got us watching this :),ieb really got us watching this
Eish its tough out here😭💔,eish its tough out here
Maybe the secret is the cross on the flag.,maybe the secret is the cross on the flag
israel ranking 11: ahh almost made it to the top 10,israel ranking 11 ahh almost made it to the top 10
Why was the Swedish flag not in the thumbnail? 😐,why was the swedish flag not in the thumbnail
Who is here for lo,who is here for lo
Me,me
"Your flag has to have red , blue or white on it",your flag has to have red blue or white on it
Only Americans would think personal wealth would be the biggest determining factor in happiness 😂,only americans would think personal wealth would be the biggest determining factor in happiness
it helps. its no coincidence that the countries with the highest median household income report as being the happiest countries,it helps its no coincidence that the countries with the highest median household income report as being the happiest countries
"Hispanics ,african americans ,and native americans all need to move to these countries quick before the next genocide occurs .",hispanics african americans and native americans all need to move to these countries quick before the next genocide occurs
we in israel happy and no complaning even EVERYONE hate us with no axual reason,we in israel happy and no complaning even everyone hate us with no axual reason
"We don't hate you, we are only criticize how you treat the palestinians",we don t hate you we are only criticize how you treat the palestinians
@@reineh3477 our government is always down bad.. but us the people love our life,our government is always down bad but us the people love our life
Happiness..feeling of well being or contentment. Money is not the key to being happy. For me it’s all about the ability to decide for myself and plenty of choices. But I guess it comes down to how one is conditioned or indoctrinated.,happiness feeling of well being or contentment money is not the key to being happy for me it s all about the ability to decide for myself and plenty of choices but i guess it comes down to how one is conditioned or indoctrinated
Now i wanna go to Finland,now i wanna go to finland
Памагити с сочем :(,
"Wow, the happiest countries live in freezer level temperatures.",wow the happiest countries live in freezer level temperatures
🔭,
Oh that is why these countries have + in their flags. It us cause + stands for positive 😂,oh that is why these countries have in their flags it us cause stands for positive
"Nordic taxation sustaining free welfare benefits, is like shopping at Wholefoods, charged Walmart prices... 😎😇🇺🇲",nordic taxation sustaining free welfare benefits is like shopping at wholefoods charged walmart prices
Meanwhile in SouthAsia you have to pay  70% of your income on quality education of your children lmao.,meanwhile in southasia you have to pay 70 of your income on quality education of your children lmao
I am from Finland and everyone is depressed,i am from finland and everyone is depressed
"@Big blue whale yes, I live Finland. Do yoj?",blue whale yes i live finland do yoj
@Big blue whale do you even live ib Finland?,blue whale do you even live ib finland
Finns should Be Happy of their good country. I lived in other countries and I know what I am talking about.,finns should be happy of their good country i lived in other countries and i know what i am talking about
proof? oh right you made that up,proof oh right you made that up
"I live in Finland and everybody is not unhappy. 
Finns are happy, but they don't show it. You don't need to smile 24/7 and you can still be happy.",i live in finland and everybody is not unhappy finns are happy but they don t show it you don t need to smile 24 7 and you can still be happy
幸福社会の条件とは、５感覚正常な意思疎通出来る者達が、居る事、神崇拝教徒で有る事です。　　　逆に不幸な社会とは、５感覚異常で、意思疎通できぬ者達が、居る事です。ヘロイン崇拝詐欺窃盗教徒で生きる、無神論者達,
"Finland is NO WAY the happiest country in the world!!! That's a lie!!! They just tend to accept everything. If you have seen, how many people are standing in queues to receive free food from voluntered stands and how many people are drinking themselves to death.",finland is no way the happiest country in the world that s a lie they just tend to accept everything if you have seen how many people are standing in queues to receive free food from voluntered stands and how many people are drinking themselves to death
"well they didn't say all people there are happy, did they?",well they didn t say all people there are happy did they
Sweden is less happy than other norse countries because pewdiepie moved to england,sweden is less happy than other norse countries because pewdiepie moved to england
"Most people are working class. If the people dont have to worry mutch, is able to save a litle money and have a good work/life balance  they are happy. The happiest countries also are cold countries where they have learn that they have to work together and always try to see the positiv side.",most people are working class if the people dont have to worry mutch is able to save a litle money and have a good work life balance they are happy the happiest countries also are cold countries where they have learn that they have to work together and always try to see the positiv side
"This is a lot of rubbish! I've  been to Copenhagen and these  people are  the most unfriendly and utterly. Reserved, selfish, unhelpful bunch of snobs! They have forgotten to smile and laugh. There is no mirth and liveliness in their laughter! Their eyes never smile! 
Jeffrey Sachs and these guys have taken Buddhist Bhutan's happiness concept and twisted it into a materialistic  western concept which measures material wealth. Look at their suicide and depression index. Their long grey winters are most lonely. They are so reserved and ultra cautious that talking to them is a veritable pain! No wonder then, these rich Danes settle in happy bright Buddhist and sunny Sri Lanka!",this is a lot of rubbish i ve been to copenhagen and these people are the most unfriendly and utterly reserved selfish unhelpful bunch of snobs they have forgotten to smile and laugh there is no mirth and liveliness in their laughter their eyes never smile jeffrey sachs and these guys have taken buddhist bhutan s happiness concept and twisted it into a materialistic western concept which measures material wealth look at their suicide and depression index their long grey winters are most lonely they are so reserved and ultra cautious that talking to them is a veritable pain no wonder then these rich danes settle in happy bright buddhist and sunny sri lanka
"nah i think its your comment that is a load of rubbish. id rather believe statistics and data over your opinion.

suicide rates and depression rates are not connected to the overal happiness of a nation. that is abelism because you're implying that all suicides are related to ""my life really sux so imma off myslef"". but suicide happens for hundreds of reasons and varies per person. and depression is a disorder that affects even the ultra rich and higher middle class.",nah i think its your comment that is a load of rubbish id rather believe statistics and data over your opinion suicide rates and depression rates are not connected to the overal happiness of a nation that is abelism because you re implying that all suicides are related to my life really sux so imma off myslef but suicide happens for hundreds of reasons and varies per person and depression is a disorder that affects even the ultra rich and higher middle class
"Well, none of them is a islamic country",well none of them is a islamic country
whats your point?,whats your point
Australia & NZ are not Nordic nations.,australia nz are not nordic nations
"People are force to pay 
taxes. Only poor people are happy because they steal fruits of the 
clever peoples work.",people are force to pay taxes only poor people are happy because they steal fruits of the clever peoples work
or god's sake with you make different speakers a similar volume,or god s sake with you make different speakers a similar volume
it think they are happy due to how homogenous they are,it think they are happy due to how homogenous they are
absurd. canada is happy and its ranked as one of the most culturally diverse nations on earth,absurd canada is happy and its ranked as one of the most culturally diverse nations on earth
"1. Finland 
2. Norway
3. Denmark
4. Iceland
5. Switzerland
9. Sweden 

Thats probably because all flags got a cross!",1 finland 2 norway 3 denmark 4 iceland 5 switzerland 9 sweden thats probably because all flags got a cross
"A missing piece of this: work-life balance. In the Nordics, you can stand up to your boss without risking being fired. There is no norm to work anything more than 40 hours a week. Paid vacation. Strong unions. Very relaxed and egalitarian workplaces. No tipping. Etc.",a missing piece of this work life balance in the nordics you can stand up to your boss without risking being fired there is no norm to work anything more than 40 hours a week paid vacation strong unions very relaxed and egalitarian workplaces no tipping etc
What's stopping bosses from firing people?,what s stopping bosses from firing people
@@khalid4381 The law,the law
"It's the same in Germany! A maximum to 40 hours, overhours will be payed or you get time off.

If this isn't possible in the US, which I don't know since I have never been here (please an American to clear this up) then Americans will never be happy",it s the same in germany a maximum to 40 hours overhours will be payed or you get time off if this isn t possible in the us which i don t know since i have never been here please an american to clear this up then americans will never be happy
Te zemlje su u dugovima,te zemlje su u dugovima
"@khalid4381 Of course the boss can fire an employee, but if it is done arbitrarily, it becomes more and more difficult to hire qualified employees - the word spreads.",of course the boss can fire an employee but if it is done arbitrarily it becomes more and more difficult to hire qualified employees the word spreads
Israel 11 I from Israel 💙🇮🇱,israel 11 i from israel
"Very simple way to put this in a American way, we don’t wanna pay more taxes or be responsible for you it’s your problem",very simple way to put this in a american way we don t wanna pay more taxes or be responsible for you it s your problem
"Environment block your creativity, go out your box, comfort zone.",environment block your creativity go out your box comfort zone
"If I had the money, I’d immediately move to either Norway, Japan, or South Korea.",if i had the money i d immediately move to either norway japan or south korea
Me too.. norway is way better than america,me too norway is way better than america
Happiness will always stay but money wont,happiness will always stay but money wont
Yes im from norway and norway Is a very happy and a nice place. The problem that i have been trough for a long time. And that is toxic or mean. known as in norway: (frekk) and thats one thing too. One Does not care. And this is me.,yes im from norway and norway is a very happy and a nice place the problem that i have been trough for a long time and that is toxic or mean known as in norway frekk and thats one thing too one does not care and this is me
"Finland, Norway, Denmark, Iceland and Switzerland. What about Sweden?",finland norway denmark iceland and switzerland what about sweden
"Finland honestly isn’t happy at all it’s full of extremely racist, mean and hateful people and they even admit it proudly.",finland honestly isn t happy at all it s full of extremely racist mean and hateful people and they even admit it proudly
Lol I live in Finland and sure the people aren't the most friendly or easy to approach but they aren't racist and I'm Mexican,lol i live in finland and sure the people aren t the most friendly or easy to approach but they aren t racist and i m mexican
Cisco they wouldnt say it to ur face,cisco they wouldnt say it to ur face
Socialism,socialism
"But if these countries are the happiest, why they have higher suicide rate than other countries like Italy, Spain and Greece?",but if these countries are the happiest why they have higher suicide rate than other countries like italy spain and greece
"White. Educated. Neutral or staying out of conflicts. 
Its being changed fast. 
Multiculturalist slums are more enriching.",white educated neutral or staying out of conflicts its being changed fast multiculturalist slums are more enriching
Norway is Happy becouse of the DUMB people amicans choose as president. And WE dont USE 30% of our money ON the military,norway is happy becouse of the dumb people amicans choose as president and we dont use 30 of our money on the military
"Can we send you our unhappy people? We have lots of people that hate wealthy people and blame them for all of their own problems. They choose to be envious rather than focus on their own happiness or success. 

Also, I thought it was funny when she said that they provide benefits to 2000 people... Wow, how many people live there?",can we send you our unhappy people we have lots of people that hate wealthy people and blame them for all of their own problems they choose to be envious rather than focus on their own happiness or success also i thought it was funny when she said that they provide benefits to 2000 people wow how many people live there
"@Noah Nobody, a Finn can happily kill himself as he knows his kids and wife will still happily survive regardless.
Nobody from the UN runs around asking people how happy they are. What is measured is the quality of the society regarding thing like education, healthcare, crime, corruption, equality, poverty  and such.
The sad thing about this is that the Americans are so easily fooled about the taxation when what matters is what you are left with at the end of the month, at the end of the year.",nobody a finn can happily kill himself as he knows his kids and wife will still happily survive regardless nobody from the un runs around asking people how happy they are what is measured is the quality of the society regarding thing like education healthcare crime corruption equality poverty and such the sad thing about this is that the americans are so easily fooled about the taxation when what matters is what you are left with at the end of the month at the end of the year
"Finns are not even killing themselves anymore as much. That was in The 90's. Since The suicide rates have dropped drasticly down. Watch The video ""Suicide rates in The world/Country suicide comparison rate.""
62 highest suicide countries and Finland is not even mentioned. The highest suicide countries are:  The 1sr Lithuania, the 2nd Russia and the 3rd South Korea.",finns are not even killing themselves anymore as much that was in the 90 s since the suicide rates have dropped drasticly down watch the video suicide rates in the world country suicide comparison rate 62 highest suicide countries and finland is not even mentioned the highest suicide countries are the 1sr lithuania the 2nd russia and the 3rd south korea
You're measuring happiness by counting the factors in that don't effect every individual directly. How can one's definition of happiness is eternally be correct?,you re measuring happiness by counting the factors in that don t effect every individual directly how can one s definition of happiness is eternally be correct
"I will save you some time: Scandinavian market economy, meaning a mixture of socialism and capitalism is the reason why people are happy.",i will save you some time scandinavian market economy meaning a mixture of socialism and capitalism is the reason why people are happy
part of it. true,part of it true
@@pahakasvivenuksesta2653 what do you mean?,what do you mean
"@@rickardkaufman3988 Thank you for asking. Well in Nordic countries laws and parliament  have strong position in our societies. Then there is trust, which is still quite normal between citizens. and for goverment. Good education, Keeping good society on with benefits for the poor AND some for all. Keeping  society peaceful by making it better for all. Maybe we just think everyone is  equal. imo",thank you for asking well in nordic countries laws and parliament have strong position in our societies then there is trust which is still quite normal between citizens and for goverment good education keeping good society on with benefits for the poor and some for all keeping society peaceful by making it better for all maybe we just think everyone is equal imo
"@@pahakasvivenuksesta2653 True. That is why Bernie will win.
Edit: He lost in the primaries coming 2nd.",true that is why bernie will win edit he lost in the primaries coming 2nd
"@@rickardkaufman3988 I really do not think so, even that could be good for USA.",i really do not think so even that could be good for usa
Amen,amen
@Big blue whale  It's a mixed market economy. It's basically under some regulations with a consensus for a social safety net.,blue whale it s a mixed market economy it s basically under some regulations with a consensus for a social safety net
@@rickardkaufman3988 it is a free market economy. You can google it.,it is a free market economy you can google it
@@cinderellaandstepsisters It's a mixed market. Government is involved and its stable.,it s a mixed market government is involved and its stable
@@rickardkaufman3988 I just checked it up. It is a free market economy. You can check it up as well.,i just checked it up it is a free market economy you can check it up as well
"@@rickardkaufman3988 Sadly, Americans want hard capitalism slavery. Biden and Trump is what your people wanted. I am sorry for you!",sadly americans want hard capitalism slavery biden and trump is what your people wanted i am sorry for you
"Ma nije bre happy, Srbija je najsrecnija",ma nije bre happy srbija je najsrecnija
"Add trust in institutions too, which is exactly that was outlined in 'Why Nations Fail'. Strong institutions matter.",add trust in institutions too which is exactly that was outlined in why nations fail strong institutions matter
"Rubbish, what 'bout family orientation",rubbish what bout family orientation
"No, Finland doesn't have a universal basic income program. It made a small sized experiment by giving an amount below minimum wage to 2000 people with low social status.",no finland doesn t have a universal basic income program it made a small sized experiment by giving an amount below minimum wage to 2000 people with low social status
0:03 thats my city,0 03 thats my city
ho is from norway here i am form norway,ho is from norway here i am form norway
Hold up we Americans have the best of freedom from any country so I’m confused because everyone says that about the country,hold up we americans have the best of freedom from any country so i m confused because everyone says that about the country
"""we Americans have the best of freedom""
That's wrong.",we americans have the best of freedom that s wrong
Austria??????,austria
"No wonder why Norwegians are happy. When citizens can choose not to work and rather receive generous welfare, it's no mystery that out of three million people between 18 and 67 year almost 700 000 people live on welfare. The cost? One third of the annual state budget! Every single year!",no wonder why norwegians are happy when citizens can choose not to work and rather receive generous welfare it s no mystery that out of three million people between 18 and 67 year almost 700 000 people live on welfare the cost one third of the annual state budget every single year
"""The cost? One third of the annual state budget! Every single year!""
Meanwhile, if you get cancer in the US you're going to go bankrupt. I'm always amazed at the utter nonsense that spills out of some people's brains.",the cost one third of the annual state budget every single year meanwhile if you get cancer in the us you re going to go bankrupt i m always amazed at the utter nonsense that spills out of some people s brains
"This is crazy! i don't know how these people judge these things, but the suicide rate among the nordic countries is incredible. A friend actually lost a close person in one of those countries and it was shocking, no person could imagine any reason for it! It's sad but people don't just want these economic gains but a meaning to life and unfortunately conditions in todays world aren't very conducive to such!",this is crazy i don t know how these people judge these things but the suicide rate among the nordic countries is incredible a friend actually lost a close person in one of those countries and it was shocking no person could imagine any reason for it it s sad but people don t just want these economic gains but a meaning to life and unfortunately conditions in todays world aren t very conducive to such
"Wrong! Watch The video ""Suicide rates in The world/Country suicide comparison rate."" Published 6 months ago. 
62 highest suicide countries and Finland is not even mentioned. 
The other nordic countries are far behind from the top. 
The highest suicide countries are:
The 1st Lithuania
The 2nd Russia
The 3rd South Korea
I wish these lies are stopped.",wrong watch the video suicide rates in the world country suicide comparison rate published 6 months ago 62 highest suicide countries and finland is not even mentioned the other nordic countries are far behind from the top the highest suicide countries are the 1st lithuania the 2nd russia the 3rd south korea i wish these lies are stopped
I think happiness is the wrong word,i think happiness is the wrong word
"If you have read the report, happiness is the most correct word there is to describe this",if you have read the report happiness is the most correct word there is to describe this
It seems like Sweden is always getting relatively low ranks compare to her neighbors why is that?,it seems like sweden is always getting relatively low ranks compare to her neighbors why is that
"Refugees and the Left Politicians ruined it, but Sweden is still a Great country as along as the Politicians restrict the immigration policy.",refugees and the left politicians ruined it but sweden is still a great country as along as the politicians restrict the immigration policy
Lol it will never be as bad as the us,lol it will never be as bad as the us
Globally still doing very well.,globally still doing very well
Switzerland's rating would have gone down by a lot if Frankenstein still lives,switzerland s rating would have gone down by a lot if frankenstein still lives
"When those Nordic countries become as diverse as America then talk. And yes America is the MOST welcoming country on Earth, ironically while blamed for being the opposite. Does Canada, Australia, New Zealand, and the Scandinavian Shangri-las accept so much immigration or is it selective, poaching educated families from poor countries that lose out on their investment to educate people they cannot retain?",when those nordic countries become as diverse as america then talk and yes america is the most welcoming country on earth ironically while blamed for being the opposite does canada australia new zealand and the scandinavian shangri las accept so much immigration or is it selective poaching educated families from poor countries that lose out on their investment to educate people they cannot retain
America is anything but welcoming,america is anything but welcoming
Reasons why America is now a flawed democracy,reasons why america is now a flawed democracy
"The coice of the word ""Happiness"" is not a happy one. There was some funny reason for that choice I cannot remember now. Look it up. The comparison is between the countries and society.
Why not call it a no-worry index instead. I don't have to worry about going bankrupt because of illness because of our health system. I don't have to worry about not having the money to pay for my three kids education because we have affordable education. I did not have to worry when my kids walked or biked or used public transportation to get to kindergarten and school.
Did that make me laugh all day long, no  you take things for granted when you have them. A high crime rate, inequality should not make anybody happy. Clean air and water, low corruption should make you happy. The Nordic countries are very similar in the way we want our society to function and sometimes I think poverty is less disturbing in a sunny country than in a four season country with a winter. I hope you can figure that out by yourself.",the coice of the word happiness is not a happy one there was some funny reason for that choice i cannot remember now look it up the comparison is between the countries and society why not call it a no worry index instead i don t have to worry about going bankrupt because of illness because of our health system i don t have to worry about not having the money to pay for my three kids education because we have affordable education i did not have to worry when my kids walked or biked or used public transportation to get to kindergarten and school did that make me laugh all day long no you take things for granted when you have them a high crime rate inequality should not make anybody happy clean air and water low corruption should make you happy the nordic countries are very similar in the way we want our society to function and sometimes i think poverty is less disturbing in a sunny country than in a four season country with a winter i hope you can figure that out by yourself
