Name,Comment,Time,Likes,Reply Count
@gordonlawson2334,Happiness..feeling of well being or contentment. Money is not the key to being happy. For me it’s all about the ability to decide for myself and plenty of choices. But I guess it comes down to how one is conditioned or indoctrinated.,2021-04-16T16:11:12Z,1,0
@inesse1972,Now i wanna go to Finland,2021-03-12T16:11:28Z,2,0
@KoishymanYersin,Памагити с сочем :(,2021-03-11T09:33:04Z,0,0
@marcuscarana9240,"Wow, the happiest countries live in freezer level temperatures.",2021-02-27T19:22:49Z,0,0
@mohdrasyid6373,🔭,2021-02-27T11:32:26Z,0,0
@EmptinessPrince,Oh that is why these countries have + in their flags. It us cause + stands for positive 😂,2021-02-26T19:59:39Z,1,0
@Bjorn2055,"Nordic taxation sustaining free welfare benefits, is like shopping at Wholefoods, charged Walmart prices... 😎😇🇺🇲",2021-02-23T17:21:46Z,0,0
@shaharierahnaf,Meanwhile in SouthAsia you have to pay  70% of your income on quality education of your children lmao.,2021-02-23T11:45:49Z,3,0
@dietzraimonds69,I am from Finland and everyone is depressed,2021-02-07T15:40:01Z,0,5
@dietzraimonds69,"@Big blue whale yes, I live Finland. Do yoj?",2021-02-17T14:46:30Z,0,
@dietzraimonds69,@Big blue whale do you even live ib Finland?,2021-02-17T15:49:03Z,0,
@cinderellaandstepsisters,Finns should Be Happy of their good country. I lived in other countries and I know what I am talking about.,2021-04-02T07:01:29Z,0,
@godemperorofmankind3.091,proof? oh right you made that up,2023-03-16T00:43:01Z,0,
@butterflies655,"I live in Finland and everybody is not unhappy. 
Finns are happy, but they don't show it. You don't need to smile 24/7 and you can still be happy.",2023-09-02T04:09:22Z,1,
@sadsad3516,幸福社会の条件とは、５感覚正常な意思疎通出来る者達が、居る事、神崇拝教徒で有る事です。　　　逆に不幸な社会とは、５感覚異常で、意思疎通できぬ者達が、居る事です。ヘロイン崇拝詐欺窃盗教徒で生きる、無神論者達,2021-02-04T01:04:58Z,0,0
@Alvaro_Litti,"Finland is NO WAY the happiest country in the world!!! That's a lie!!! They just tend to accept everything. If you have seen, how many people are standing in queues to receive free food from voluntered stands and how many people are drinking themselves to death.",2021-02-03T14:13:16Z,0,1
@user78994,"well they didn't say all people there are happy, did they?",2021-02-09T14:38:45Z,2,
@dexterjettster3683,Sweden is less happy than other norse countries because pewdiepie moved to england,2021-01-31T03:00:33Z,0,0
@daghugowilhelmsen5660,"Most people are working class. If the people dont have to worry mutch, is able to save a litle money and have a good work/life balance  they are happy. The happiest countries also are cold countries where they have learn that they have to work together and always try to see the positiv side.",2021-01-18T11:13:06Z,0,0
@amindra963,"This is a lot of rubbish! I've  been to Copenhagen and these  people are  the most unfriendly and utterly. Reserved, selfish, unhelpful bunch of snobs! They have forgotten to smile and laugh. There is no mirth and liveliness in their laughter! Their eyes never smile! 
Jeffrey Sachs and these guys have taken Buddhist Bhutan's happiness concept and twisted it into a materialistic  western concept which measures material wealth. Look at their suicide and depression index. Their long grey winters are most lonely. They are so reserved and ultra cautious that talking to them is a veritable pain! No wonder then, these rich Danes settle in happy bright Buddhist and sunny Sri Lanka!",2020-12-31T20:44:34Z,0,1
@godemperorofmankind3.091,"nah i think its your comment that is a load of rubbish. id rather believe statistics and data over your opinion.

suicide rates and depression rates are not connected to the overal happiness of a nation. that is abelism because you're implying that all suicides are related to ""my life really sux so imma off myslef"". but suicide happens for hundreds of reasons and varies per person. and depression is a disorder that affects even the ultra rich and higher middle class.",2023-01-02T05:56:45Z,0,
@user-bn8ie5zt9x,"Well, none of them is a islamic country",2020-12-01T15:28:28Z,0,1
@godemperorofmankind3.091,whats your point?,2023-01-02T05:57:39Z,0,
@dukkha62,Australia & NZ are not Nordic nations.,2020-11-28T04:46:56Z,0,0
@danielgospodinov5786,"People are force to pay 
taxes. Only poor people are happy because they steal fruits of the 
clever peoples work.",2020-11-05T20:09:27Z,1,0
@petereiso5415,or god's sake with you make different speakers a similar volume,2020-10-21T09:28:55Z,0,0
@somerandomguy7458,it think they are happy due to how homogenous they are,2020-10-03T18:30:06Z,0,1
@godemperorofmankind3.091,absurd. canada is happy and its ranked as one of the most culturally diverse nations on earth,2023-01-02T05:58:04Z,0,
@frutzlidimare1829,"1. Finland 
2. Norway
3. Denmark
4. Iceland
5. Switzerland
9. Sweden 

Thats probably because all flags got a cross!",2020-09-28T16:33:30Z,1,0
@albinjohnsson2511,"A missing piece of this: work-life balance. In the Nordics, you can stand up to your boss without risking being fired. There is no norm to work anything more than 40 hours a week. Paid vacation. Strong unions. Very relaxed and egalitarian workplaces. No tipping. Etc.",2020-09-17T12:41:57Z,69,5
@khalid4381,What's stopping bosses from firing people?,2021-01-12T23:00:21Z,2,
@GameCaliber1,@@khalid4381 The law,2021-03-19T09:04:57Z,2,
@peterspater2205,"It's the same in Germany! A maximum to 40 hours, overhours will be payed or you get time off.

If this isn't possible in the US, which I don't know since I have never been here (please an American to clear this up) then Americans will never be happy",2021-05-12T13:34:32Z,2,
@andrijaasd,Te zemlje su u dugovima,2021-10-18T07:43:19Z,0,
@albertnielsen1154,"@khalid4381 Of course the boss can fire an employee, but if it is done arbitrarily, it becomes more and more difficult to hire qualified employees - the word spreads.",2025-03-24T12:51:08Z,0,
@fromisrael2222,Israel 11 I from Israel 💙🇮🇱,2020-07-14T13:12:45Z,0,0
@Yasinburak1992,"Very simple way to put this in a American way, we don’t wanna pay more taxes or be responsible for you it’s your problem",2020-06-29T23:56:59Z,0,0
@sirisaksirisak6981,"Environment block your creativity, go out your box, comfort zone.",2020-06-09T05:27:46Z,0,0
@honeycoves7831,"If I had the money, I’d immediately move to either Norway, Japan, or South Korea.",2020-06-09T04:40:27Z,0,1
@elisabethc6824,Me too.. norway is way better than america,2020-08-08T15:09:57Z,1,
@hh-ck3yw,Happiness will always stay but money wont,2020-06-04T12:19:20Z,0,0
@Hammyp5555,Yes im from norway and norway Is a very happy and a nice place. The problem that i have been trough for a long time. And that is toxic or mean. known as in norway: (frekk) and thats one thing too. One Does not care. And this is me.,2020-05-31T13:27:43Z,0,0
@mikaeltuominen4339,"Finland, Norway, Denmark, Iceland and Switzerland. What about Sweden?",2020-05-23T13:17:36Z,0,0
@user-dm7zh4in1l,"Finland honestly isn’t happy at all it’s full of extremely racist, mean and hateful people and they even admit it proudly.",2020-04-26T17:24:00Z,2,2
@Zetro999,Lol I live in Finland and sure the people aren't the most friendly or easy to approach but they aren't racist and I'm Mexican,2020-10-03T15:32:39Z,0,
@user-dm7zh4in1l,Cisco they wouldnt say it to ur face,2020-10-03T16:27:57Z,0,
@lalitjagtap3396,Socialism,2020-04-24T15:14:45Z,0,0
@whyshouldihaveanamebye7144,"But if these countries are the happiest, why they have higher suicide rate than other countries like Italy, Spain and Greece?",2020-04-20T12:36:59Z,1,0
@w.loczykij5354,"White. Educated. Neutral or staying out of conflicts. 
Its being changed fast. 
Multiculturalist slums are more enriching.",2020-03-25T01:25:44Z,1,0
@felixandersen826,Norway is Happy becouse of the DUMB people amicans choose as president. And WE dont USE 30% of our money ON the military,2020-03-01T21:15:45Z,2,0
@rmv4646,"Can we send you our unhappy people? We have lots of people that hate wealthy people and blame them for all of their own problems. They choose to be envious rather than focus on their own happiness or success. 

Also, I thought it was funny when she said that they provide benefits to 2000 people... Wow, how many people live there?",2020-02-24T15:51:00Z,0,0
@hurri7720,"@Noah Nobody, a Finn can happily kill himself as he knows his kids and wife will still happily survive regardless.
Nobody from the UN runs around asking people how happy they are. What is measured is the quality of the society regarding thing like education, healthcare, crime, corruption, equality, poverty  and such.
The sad thing about this is that the Americans are so easily fooled about the taxation when what matters is what you are left with at the end of the month, at the end of the year.",2020-02-09T18:37:47Z,0,1
@blackcoffeebeans6100,"Finns are not even killing themselves anymore as much. That was in The 90's. Since The suicide rates have dropped drasticly down. Watch The video ""Suicide rates in The world/Country suicide comparison rate.""
62 highest suicide countries and Finland is not even mentioned. The highest suicide countries are:  The 1sr Lithuania, the 2nd Russia and the 3rd South Korea.",2021-04-02T07:32:51Z,0,
@enlit5759,You're measuring happiness by counting the factors in that don't effect every individual directly. How can one's definition of happiness is eternally be correct?,2020-01-27T10:13:35Z,1,0
@rickardkaufman3988,"I will save you some time: Scandinavian market economy, meaning a mixture of socialism and capitalism is the reason why people are happy.",2020-01-17T11:20:26Z,103,13
@pahakasvivenuksesta2653,part of it. true,2020-01-25T14:15:05Z,1,
@rickardkaufman3988,@@pahakasvivenuksesta2653 what do you mean?,2020-01-25T14:17:24Z,0,
@pahakasvivenuksesta2653,"@@rickardkaufman3988 Thank you for asking. Well in Nordic countries laws and parliament  have strong position in our societies. Then there is trust, which is still quite normal between citizens. and for goverment. Good education, Keeping good society on with benefits for the poor AND some for all. Keeping  society peaceful by making it better for all. Maybe we just think everyone is  equal. imo",2020-01-25T14:37:06Z,5,
@rickardkaufman3988,"@@pahakasvivenuksesta2653 True. That is why Bernie will win.
Edit: He lost in the primaries coming 2nd.",2020-01-25T15:17:38Z,2,
@pahakasvivenuksesta2653,"@@rickardkaufman3988 I really do not think so, even that could be good for USA.",2020-01-25T15:52:08Z,3,
@pavelm.gonzalez8608,Amen,2020-05-22T04:21:11Z,0,
@rickardkaufman3988,@Big blue whale  It's a mixed market economy. It's basically under some regulations with a consensus for a social safety net.,2021-02-17T16:02:56Z,3,
@cinderellaandstepsisters,@@rickardkaufman3988 it is a free market economy. You can google it.,2021-04-02T05:18:16Z,1,
@rickardkaufman3988,@@cinderellaandstepsisters It's a mixed market. Government is involved and its stable.,2021-04-02T05:39:25Z,3,
@blackcoffeebeans6100,@@rickardkaufman3988 I just checked it up. It is a free market economy. You can check it up as well.,2021-04-02T11:23:00Z,0,
@peterspater2205,"@@rickardkaufman3988 Sadly, Americans want hard capitalism slavery. Biden and Trump is what your people wanted. I am sorry for you!",2021-05-12T13:31:45Z,2,
@andrijaasd,"Ma nije bre happy, Srbija je najsrecnija",2021-10-18T07:42:11Z,0,
@fahadhussain66,"Add trust in institutions too, which is exactly that was outlined in 'Why Nations Fail'. Strong institutions matter.",2022-06-11T01:29:58Z,0,
@70msubscriberswith6videosc2,"Rubbish, what 'bout family orientation",2019-12-21T13:31:59Z,1,0
@robezy0,"No, Finland doesn't have a universal basic income program. It made a small sized experiment by giving an amount below minimum wage to 2000 people with low social status.",2019-12-05T04:54:16Z,2,0
@MrShirial,0:03 thats my city,2019-11-27T12:40:25Z,1,0
@klauslunde,ho is from norway here i am form norway,2019-11-20T19:18:48Z,0,0
@ianl.522,Hold up we Americans have the best of freedom from any country so I’m confused because everyone says that about the country,2019-11-12T00:24:41Z,0,1
@SamIAm-kz4hg,"""we Americans have the best of freedom""
That's wrong.",2020-03-28T17:51:47Z,0,
@Seg_mented,Austria??????,2019-10-29T08:27:08Z,2,0
@_Viking,"No wonder why Norwegians are happy. When citizens can choose not to work and rather receive generous welfare, it's no mystery that out of three million people between 18 and 67 year almost 700 000 people live on welfare. The cost? One third of the annual state budget! Every single year!",2019-10-25T10:54:32Z,0,1
@SamIAm-kz4hg,"""The cost? One third of the annual state budget! Every single year!""
Meanwhile, if you get cancer in the US you're going to go bankrupt. I'm always amazed at the utter nonsense that spills out of some people's brains.",2020-03-28T17:53:22Z,2,
@vardhmankaushik7601,"This is crazy! i don't know how these people judge these things, but the suicide rate among the nordic countries is incredible. A friend actually lost a close person in one of those countries and it was shocking, no person could imagine any reason for it! It's sad but people don't just want these economic gains but a meaning to life and unfortunately conditions in todays world aren't very conducive to such!",2019-07-28T16:01:09Z,1,1
@cinderellaandstepsisters,"Wrong! Watch The video ""Suicide rates in The world/Country suicide comparison rate."" Published 6 months ago. 
62 highest suicide countries and Finland is not even mentioned. 
The other nordic countries are far behind from the top. 
The highest suicide countries are:
The 1st Lithuania
The 2nd Russia
The 3rd South Korea
I wish these lies are stopped.",2021-04-02T06:09:00Z,3,
@euan2970,I think happiness is the wrong word,2019-07-23T10:18:22Z,0,1
@Bynasf,"If you have read the report, happiness is the most correct word there is to describe this",2019-09-15T16:38:18Z,0,
@Deason723,It seems like Sweden is always getting relatively low ranks compare to her neighbors why is that?,2019-07-20T21:03:43Z,3,3
@spookysenpai7642,"Refugees and the Left Politicians ruined it, but Sweden is still a Great country as along as the Politicians restrict the immigration policy.",2019-07-23T12:33:53Z,0,
@Zetro999,Lol it will never be as bad as the us,2020-10-03T15:34:33Z,0,
@cinderellaandstepsisters,Globally still doing very well.,2021-04-02T06:20:18Z,0,
@Deason723,Switzerland's rating would have gone down by a lot if Frankenstein still lives,2019-07-20T20:58:40Z,0,0
@luvslogistics1725,"When those Nordic countries become as diverse as America then talk. And yes America is the MOST welcoming country on Earth, ironically while blamed for being the opposite. Does Canada, Australia, New Zealand, and the Scandinavian Shangri-las accept so much immigration or is it selective, poaching educated families from poor countries that lose out on their investment to educate people they cannot retain?",2019-07-20T17:36:34Z,0,1
@Zetro999,America is anything but welcoming,2020-10-03T15:35:32Z,0,
@TBHNotGonnaLie,Reasons why America is now a flawed democracy,2019-06-26T05:53:38Z,5,0
@hurri7720,"The coice of the word ""Happiness"" is not a happy one. There was some funny reason for that choice I cannot remember now. Look it up. The comparison is between the countries and society.
Why not call it a no-worry index instead. I don't have to worry about going bankrupt because of illness because of our health system. I don't have to worry about not having the money to pay for my three kids education because we have affordable education. I did not have to worry when my kids walked or biked or used public transportation to get to kindergarten and school.
Did that make me laugh all day long, no  you take things for granted when you have them. A high crime rate, inequality should not make anybody happy. Clean air and water, low corruption should make you happy. The Nordic countries are very similar in the way we want our society to function and sometimes I think poverty is less disturbing in a sunny country than in a four season country with a winter. I hope you can figure that out by yourself.",2019-06-18T09:06:26Z,0,0
@ushmay2949,"If you bring Muslims into your country, you will be happy",2019-06-12T11:22:47Z,0,0
@tribalwarfair3221,"@5:14 


ok....yep i now see where this is going.....",2019-06-07T10:33:41Z,0,0
@airplane800,In Scandinavia people are happy because they are drunk half of the time and the other half they are frozen.,2019-05-01T17:03:12Z,1,3
@0Flow0,No need to be jealous  😉 I love living here,2019-09-13T10:55:55Z,1,
@pahakasvivenuksesta2653,xD indeed :D,2020-01-25T14:14:10Z,0,
@blackcoffeebeans6100,"They are not. Watch The video ""Country alcohol consumption comparison.""
In Europe the highest alcohol consumption countries are:
The 1st Moldova, The 2nd Lithuania, The 3rd Czech and The 4th Germany. 
Finland is likely in the middle and other nordic countries are even more behind. 
Forinstance Russia, Luxemburg, Poland, Latvia, France, Ireland,UK, Serbia, Portugal Switzerland,Austria, Belgium, Poland, Belarus, Estonia Hungary etc are ahead of Finland and other Nordic countries.",2021-04-02T07:39:38Z,0,
@AnIraniansJourney2636,"Thank you for preparing this video however I don't know why the world must be divided into different groups of people.
Some of them are really living and others suffer from inequality and poverty plus inapproperiate educational system",2019-04-28T03:07:25Z,1,0
@COMMANDMENTSGALAXY,CONGRATULATIONS !!,2019-04-24T15:57:31Z,0,0
@jollycooperator2876,I want to see this study in 20 years after the real impact of mass islamization of Europe has seen its effects..,2019-04-21T20:08:36Z,2,0
@AjayYadav-iq7bn,Wishing everyone a happy country... a happy world...,2019-04-20T18:27:48Z,2,0
@codinggrunt1295,"how much are they spending on defense? ........ohh yea, the U.S got it...your welcome",2019-04-13T07:32:51Z,0,25
@Bynasf,"Lol what have you helped them with? And don’t try to say ww2, everyone knows the Soviet Union was the decider and not the USA",2019-05-11T19:49:12Z,0,
@codinggrunt1295,"@@Bynasf The U.S plays an active role in being the global police force so other countries need not worry..This is the longest period the world powers have been at peace..Im Sorry the ""happiest countries in the world"" do not have to worry about a defense budget when the U.S is taking care of everything",2019-05-13T08:30:13Z,0,
@Bynasf,Coding Grunt why can’t you give an example then?,2019-05-13T08:35:09Z,0,
@codinggrunt1295,"@@Bynasf Have we not been at peace since ww2? i rest my case..please tell me what is holding everyone back from a ww3? you think the Nordic nations are going to stop anyone..The U.S are the enforcers For the United Nations..Because of the U.S , there is a south Korea that isnt starving but thriving",2019-05-13T08:46:31Z,0,
@Bynasf,"Coding Grunt yeah that’s great, was South Korea on this happiness list? No. And you’re telling me you’re the ones preventing us from being in a war? People in North Korea, China, Russia, Arab countries are cursing your name. Israel is hated among almost the rest of the Middle East. Why? Which country in particular has helped Israel and is the reason that they are hated?",2019-05-13T10:46:55Z,0,
@codinggrunt1295,"@@Bynasf 1. South Korea has a booming economy and their standards of living have improved a lot over the years unlike North Korea, thanks to the U.S in the Korean war.
2. Yes the U.S is preventing many wars from occuring. Mutually Assurd Destruction prevents many countries from waging war thanks to the development of Nukes, that put countries in a standoff from one another..thats just one of many reasons, not even to include the multiple U.S bases around the world, and multiple nucleor submarines.
3. Israel has held a stable government and is  alighn more  morally to western ideas, as well as having a democracy..Israel was also never an aggressor in trying to invade any other countries throughout its history, unlike their neighbors. It has only acted out in defense but never as the aggressor",2019-05-14T03:22:59Z,0,
@Bynasf,"Coding Grunt 
1. That’s great, but South Korea is still not in this happiness video.
2. This is hilarious, people all over Asia and Africa swear your name as if it is the devil himself. Attacking Vietnam when the 2 sides had signed a peace treaty, trump keeps on bashing China and Russia for their acts, keeps on looking down at the Arab world, only getting more debt, getting a bigger army and you think you’re the biggest factor in world peace. Hilarious.
3. That’s great, but the other countries in the Middle East still hates Israel because of high influence from the USA.",2019-05-14T05:30:27Z,0,
@codinggrunt1295,"@@Bynasf 1. Your point was ""what have you helped them with? And dont try to say ww2?"" and not if it was on the happy video. My point was the U.S military has a huge budget and it has brung peace to other Nations. I used Korea as an example because its thriving because of the U.S helping in the Korean war. It had the fastest recorded rise in gdp and is 11th in its economy, 2nd in healthcare, 5th on exports, as well as being the most innovative country for 6 years.",2019-05-14T15:14:12Z,0,
@codinggrunt1295,"@@Bynasf 2.They curse our name but what are they doing about it?......Nothing, sounds like peace to me..Whats keeping North Korea from attacking South Korea? ....hmmm maybe the U.S bases that are in South Korea. Another example of peace the U.S is bringing and preventing wars..Let me ask you this what are the Nordic nations doing for the world? had the brang peace or saved any other countries? They rely on the U.S to bring peace to prosper.",2019-05-14T15:22:19Z,0,
@codinggrunt1295,"@@Bynasf So what? let the m hate, like the point i made earlier, those countries are aggressors who try to invade other countries as well as an unstable government",2019-05-14T15:25:05Z,0,
